Balbilla-verb-indicative: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=indicative,,,,,,
ὀΐοισ’,"κʼ ὠ Μέμνων τρέσσαις μεγάλω μένος Ἀδρι[άνοιο] ἐξαπίνας αὔδασ’ , ἀ δ’ ὀΐοισ’ ἐχάρη .",Balbilla3,4,"1ad
 2ad",singular,ADV
αὐδήσαντος,ἔκλυον αὐδήσαντος ἔγω ’ πυ λίθω Βάλβιλλα τᾶς θεΐας Μέμνονος ἢ Φαμένωθ . [0],Balbilla4,1,"1ad
 2ad",singular,ADV
Balbilla-verb-infinitive: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=infinitive,,,,,,
ὄ̣λ̣εσθ’,"ἀλλ’ ἔγω οὐ δοκίμωμι σέθεν τόδ’ ὄ̣λ̣εσθ’ ἂ̣ν ἄγαλμα , ψύχαν δ’ ἀθανάταν λοίπ̣ο̣ν̣ ἔσωσ̣α̣ νόῳ .",Balbilla2,5,"1ad
 2ad",,OBJ
φώνην,"Μέμνονα πυνθανόμαν Αἰγύπτιον , ἀλίω αὔγαι αἰθόμενον , φώνην Θηβαΐκω ’ πυ λίθω .",Balbilla1,3,"1ad
 2ad",,OBJ
χαίρην,"Ἀδρίανον δ’ ἐσίδων , τὸν παμβασίληα , πρὶν αὔγας ἀελίω χαίρην εἶπέ ϝοι ὠς δύνατον .",Balbilla1,4,"1ad
 2ad",,ADV
Balbilla-verb-imperative: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=imperative,,,,,,
χαῖρε,"Αὔως καὶ γεράρω , Μέμνον , πάϊ Τιθώνοιο , Θηβάας θάσσων ἄντα Δίος πόλιος , ἢ Ἀμένωθ , βασίλευ Αἰγύπτιε , τὼς ἐνέποισιν ἴρηες μύθων τῶν παλάων ἴδριες , χαῖρε , καὶ αὐδάσαις πρόφρων ἀσπάσ̣δ̣ε[ο] [κ]αὔτ[αν] τὰν σέμναν ἄλοχον κοιράνω Ἀδριάνω .",Balbilla2,2,"1ad
 2ad",singular,PRED_CO
ἀσπάσ̣δ̣ε[ο],"Αὔως καὶ γεράρω , Μέμνον , πάϊ Τιθώνοιο , Θηβάας θάσσων ἄντα Δίος πόλιος , ἢ Ἀμένωθ , βασίλευ Αἰγύπτιε , τὼς ἐνέποισιν ἴρηες μύθων τῶν παλάων ἴδριες , χαῖρε , καὶ αὐδάσαις πρόφρων ἀσπάσ̣δ̣ε[ο] [κ]αὔτ[αν] τὰν σέμναν ἄλοχον κοιράνω Ἀδριάνω .",Balbilla2,2,"1ad
 2ad",singular,PRED_CO
ἴη,"τέ̣ρπει γάρ σ’ ἐράτα μόρφα βασιλήϊδος ἄμ̣μας , ἐλθοίσαι δ’ [α]ὔ̣ται θήϊον ἄ̣χον ἴη , μὴ καί τοι βασίλευς κοτέ̣σῃ , τό νυ δᾶρον ἀτά[ρβης] τὰν σέμναν κατέ̣χ̣ες κουριδίαν ἄλοχον .",Balbilla3,3,"1ad
 2ad",singular,PRED_CO
Balbilla-verb-optative: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=optative,,,,,,
μ̣ό[λοι],"χθίσδον μὲν Μέμνων σίγαις ἀπε[δέξατ’] [ἀκ]οίτα[ν(?)] [,] ὠς πάλιν ἀ κάλα τυῖδε Σάβιννα μ̣ό[λοι] [.]",Balbilla3,2,"1ad
 2ad",singular,ADV
Balbilla-verb-subjunctive: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=subjunctive,,,,,,
κοτέ̣σῃ,"τέ̣ρπει γάρ σ’ ἐράτα μόρφα βασιλήϊδος ἄμ̣μας , ἐλθοίσαι δ’ [α]ὔ̣ται θήϊον ἄ̣χον ἴη , μὴ καί τοι βασίλευς κοτέ̣σῃ , τό νυ δᾶρον ἀτά[ρβης] τὰν σέμναν κατέ̣χ̣ες κουριδίαν ἄλοχον .",Balbilla3,3,"1ad
 2ad",singular,ADV
Sappho-verbs-indicative: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Sappho&word_pos=Verb&start=0&word_mood=indicative,,,,,,
λίσσομαί,"ποικιλόθρον’ ἀθανάτ’ Ἀφρόδιτα , παῖ Δίος δολόπλοκε , λίσσομαί σε , μή μ’ ἄσαισι μη -δ’ ὀνίαισι δάμνα , πότνια , θῦμον , ἀλλὰ τυίδ’ ἔλθ’ , αἴ ποτα κα- κἀτέρωτα τὰς ἔμας αὔδας ἀίοισα πήλοι ἔκλυες , πάτρος δὲ δόμον λίποισα χρύσιον ἦλθες ἄρμ’ ὐπασδεύξαισα ·",Sappho,1,"7bc
 6bc",singular,ExD
ἔκλυες,"ποικιλόθρον’ ἀθανάτ’ Ἀφρόδιτα , παῖ Δίος δολόπλοκε , λίσσομαί σε , μή μ’ ἄσαισι μη -δ’ ὀνίαισι δάμνα , πότνια , θῦμον , ἀλλὰ τυίδ’ ἔλθ’ , αἴ ποτα κα- κἀτέρωτα τὰς ἔμας αὔδας ἀίοισα πήλοι ἔκλυες , πάτρος δὲ δόμον λίποισα χρύσιον ἦλθες ἄρμ’ ὐπασδεύξαισα ·",Sappho,1,"7bc
 6bc",singular,ADV_CO
